theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,tau1,tau2,tau3
0,0,0,0,0,0,0,0,0
2.51260391643907e-07,-8.37534638813023e-08,-8.37534638813023e-08,0.000251226881322269,-8.37422937740895e-05,-8.37422937740895e-05,4.82702619896896e-07,1.01881063603771e-07,4.10810740337787e-09
1.00477348400252e-06,-3.34924494667507e-07,-3.34924494667507e-07,0.000502252700714707,-0.000167417566904902,-0.000167417566904902,1.93029545945406e-06,4.07415552293313e-07,1.64280464634409e-08
2.26013715321618e-06,-7.53379051072061e-07,-7.53379051072061e-07,0.000753077458177316,-0.000251025819392439,-0.000251025819392439,4.34200598846919e-06,9.16440412885762e-07,3.69532424550811e-08
4.01694927542523e-06,-1.33898309180841e-06,-1.33898309180841e-06,0.0010037011537101,-0.000334567051236699,-0.000334567051236699,7.71706167673304e-06,1.62879259219754e-06,6.56771206531829e-08
6.27480772677001e-06,-2.09160257559e-06,-2.09160257559e-06,0.00125412378731305,-0.000418041262437682,-0.000418041262437682,1.20546899940214e-05,2.54430903704351e-06,1.02593106332615e-07
9.03331038339086e-06,-3.01110346113029e-06,-3.01110346113029e-06,0.00150434535898617,-0.000501448452995388,-0.000501448452995388,1.73541184100841e-05,3.66282669423586e-06,1.47694624768217e-07
1.22920551214281e-05,-4.09735170714271e-06,-4.09735170714271e-06,0.00175436586872946,-0.000584788622909818,-0.000584788622909818,2.36145743946303e-05,4.98418251058258e-06,2.00975101234787e-07
1.60506398170221e-05,-5.35021327234071e-06,-5.35021327234071e-06,0.00200418531654292,-0.000668061772180972,-0.000668061772180972,3.08352854173117e-05,6.50821343288569e-06,2.6242796100706e-07
2.03086623463132e-05,-6.76955411543774e-06,-6.76955411543774e-06,0.00225380370242655,-0.000751267900808849,-0.000751267900808849,3.90154789477012e-05,8.23475640793912e-06,3.32046629359685e-07
2.50657205854418e-05,-8.35524019514725e-06,-8.35524019514725e-06,0.00250322102638035,-0.000834407008793449,-0.000834407008793449,4.81543824552699e-05,1.01636483825262e-05,4.09824531567205e-07
3.03214124105481e-05,-1.01071374701827e-05,-1.01071374701827e-05,0.00275243728840432,-0.000917479096134773,-0.000917479096134773,5.82512234093602e-05,1.2294726303417e-05,4.9575509290402e-07
3.60753356977725e-05,-1.20251118992575e-05,-1.20251118992575e-05,0.00300145248849846,-0.00100048416283282,-0.00100048416283282,6.93052292791558e-05,1.46278271173653e-05,5.89831738644365e-07
4.23270883232554e-05,-1.41090294410851e-05,-1.41090294410851e-05,0.00325026662666277,-0.00108342220888759,-0.00108342220888759,8.13156275336493e-05,1.71627877711048e-05,6.92047894062265e-07
4.9076268163137e-05,-1.6358756054379e-05,-1.6358756054379e-05,0.00349887970289725,-0.00116629323429908,-0.00116629323429908,9.42816456416058e-05,1.9899445211346e-05,8.02396984431502e-07
5.63224730935578e-05,-1.87741576978526e-05,-1.87741576978526e-05,0.0037472917172019,-0.0012490972390673,-0.0012490972390673,0.000108202511071524,2.28376363847717e-05,9.20872435025574e-07
6.40653009906581e-05,-2.13551003302194e-05,-2.13551003302194e-05,0.00399550266957673,-0.00133183422319224,-0.00133183422319224,0.000123077451291597,2.59771982380331e-05,1.04746767111764e-06
7.23043497305782e-05,-2.41014499101927e-05,-2.41014499101927e-05,0.00424351256002172,-0.00141450418667391,-0.00141450418667391,0.000138905693769661,2.93179677177447e-05,1.1821761179805e-06
8.10392171894584e-05,-2.70130723964861e-05,-2.70130723964861e-05,0.00449132138853688,-0.00149710712951229,-0.00149710712951229,0.000155686465973155,3.28597817704797e-05,1.3249912008865e-06
9.02695012434391e-05,-3.0089833747813e-05,-3.0089833747813e-05,0.00473892915512222,-0.00157964305170741,-0.00157964305170741,0.000173418995369067,3.66024773427646e-05,1.47590634510752e-06
9.99947997686607e-05,-3.33315999228869e-05,-3.33315999228869e-05,0.00498633585977772,-0.00166211195325924,-0.00166211195325924,0.000192102509423878,4.05458913810739e-05,1.63491497591487e-06
0.000110214710641263,-3.67382368804212e-05,-3.67382368804212e-05,0.00523354150250339,-0.0017445138341678,-0.0017445138341678,0.000211736235603508,4.46898608318237e-05,1.8020105185793e-06
0.000120928831737388,-4.03096105791292e-05,-4.03096105791292e-05,0.00548054608329924,-0.00182684869443308,-0.00182684869443308,0.000232319401373259,4.90342226413663e-05,1.97718639837085e-06
0.000132136760933174,-4.40455869777246e-05,-4.40455869777246e-05,0.00572734960216525,-0.00190911653405508,-0.00190911653405508,0.000253851234197747,5.35788137559832e-05,2.16043604055885e-06
0.000143838096104762,-4.79460320349207e-05,-4.79460320349207e-05,0.00597395205910143,-0.00199131735303381,-0.00199131735303381,0.00027633096154084,5.83234711218786e-05,2.35175287041182e-06
0.000156032435128293,-5.2010811709431e-05,-5.2010811709431e-05,0.00622035345410779,-0.00207345115136926,-0.00207345115136926,0.000299757810865592,6.32680316851722e-05,2.5511303131974e-06
0.000168719375879907,-5.62397919599689e-05,-5.62397919599689e-05,0.00646655378718432,-0.00215551792906144,-0.00215551792906144,0.000324131009634169,6.84123323918923e-05,2.75856179418229e-06
0.000181898516235744,-6.06328387452479e-05,-6.06328387452479e-05,0.00671255305833101,-0.00223751768611034,-0.00223751768611034,0.000349449785307776,7.37562101879675e-05,2.97404073863214e-06
0.000195569454071944,-6.51898180239814e-05,-6.51898180239814e-05,0.00695835126754788,-0.00231945042251596,-0.00231945042251596,0.000375713365346581,7.92995020192196e-05,3.1975605718115e-06
0.000209731787264649,-6.99105957548829e-05,-6.99105957548829e-05,0.00720394841483491,-0.0024013161382783,-0.0024013161382783,0.000402920977209637,8.50420448313548e-05,3.42911471898371e-06
0.000224385113689997,-7.47950378966658e-05,-7.47950378966658e-05,0.00744934450019212,-0.00248311483339737,-0.00248311483339737,0.0004310718483548,9.09836755699555e-05,3.66869660541083e-06
0.000239529031224131,-7.98430104080435e-05,-7.98430104080435e-05,0.00769453952361949,-0.00256484650787316,-0.00256484650787316,0.000460165206238641,9.71242311804716e-05,3.91629965635353e-06
0.000255163137743189,-8.50543792477296e-05,-8.50543792477296e-05,0.00793953348511704,-0.00264651116170568,-0.00264651116170568,0.000490200278316363,0.000103463548608211,4.17191729707102e-06
0.000271287031123312,-9.04290103744374e-05,-9.04290103744374e-05,0.00818432638468475,-0.00272810879489492,-0.00272810879489492,0.000521176292041709,0.000110001464798332,4.43554295282095e-06
0.000287900309240641,-9.59667697468804e-05,-9.59667697468804e-05,0.00842891822232264,-0.00280963940744088,-0.00280963940744088,0.00055309247486687,0.00011673781669583,4.70717004885927e-06
0.000305002569971316,-0.000101667523323772,-0.000101667523323772,0.0086733089980307,-0.00289110299934357,-0.00289110299934357,0.000585948054242389,0.000123672441245533,4.9867920104402e-06
0.000322593411191478,-0.000107531137063826,-0.000107531137063826,0.00891749871180893,-0.00297249957060298,-0.00297249957060298,0.000619742257617063,0.000130805175392085,5.27440226281606e-06
0.000340672430777265,-0.000113557476925755,-0.000113557476925755,0.00916148736365732,-0.00305382912121911,-0.00305382912121911,0.000654474312437842,0.000138135856079943,5.56999423123717e-06
0.00035923922660482,-0.000119746408868273,-0.000119746408868273,0.00940527495357589,-0.00313509165119196,-0.00313509165119196,0.000690143446149728,0.00014566432025336,5.87356134095178e-06
0.000378293396550282,-0.000126097798850094,-0.000126097798850094,0.00964886148156463,-0.00321628716052154,-0.00321628716052154,0.000726748886195666,0.000153390404856377,6.18509701720594e-06
0.000397834538489792,-0.000132611512829931,-0.000132611512829931,0.00989224694762354,-0.00329741564920785,-0.00329741564920785,0.000764289860016439,0.000161313946832811,6.50459468524334e-06
0.00041786225029949,-0.000139287416766497,-0.000139287416766497,0.0101354313517526,-0.00337847711725087,-0.00337847711725087,0.000802765595050552,0.000169434783126244,6.83204777030525e-06
0.000438376129855516,-0.000146125376618505,-0.000146125376618505,0.0103784146939519,-0.00345947156465062,-0.00345947156465062,0.000842175318734125,0.000177752750680011,7.16744969763038e-06
0.000459375775034011,-0.00015312525834467,-0.00015312525834467,0.0106211969742213,-0.0035403989914071,-0.0035403989914071,0.000882518258500772,0.00018626768643719,7.51079389245471e-06
0.000480860783711115,-0.000160286927903705,-0.000160286927903705,0.0108637781925609,-0.00362125939752029,-0.00362125939752029,0.000923793641781484,0.000194979427340584,7.86207378001146e-06
0.000502830753762968,-0.000167610251254323,-0.000167610251254323,0.0111061583489706,-0.00370205278299021,-0.00370205278299021,0.000966000696004508,0.000203887810332716,8.22128278553084e-06
0.000525285283065711,-0.000175095094355237,-0.000175095094355237,0.0113483374434506,-0.00378277914781686,-0.00378277914781686,0.00100913864859522,0.00021299267235581,8.58841433424002e-06
0.000548223969495484,-0.000182741323165161,-0.000182741323165161,0.0115903154760007,-0.00386343849200022,-0.00386343849200022,0.00105320672697602,0.000222293850351781,8.96346185136294e-06
0.000571646410928427,-0.000190548803642809,-0.000190548803642809,0.0118320924466209,-0.00394403081554031,-0.00394403081554031,0.00109820415856615,0.000231791181262224,9.34641876212016e-06
